,job family,country,country_code,year,experience_level,remote_ratio,company_size,mean_salary
0,Business Intelligence,Kenya,KEN,2021,EN,100,S,9272.0
1,Business Intelligence,United States,USA,2020,MI,0,M,98000.0
2,Business Intelligence,United States,USA,2021,EN,50,S,55000.0
3,Business Intelligence,United States,USA,2021,EX,100,L,150000.0
4,Business Intelligence,United States,USA,2021,MI,50,L,36259.0
5,Business Intelligence,United States,USA,2021,MI,100,M,100000.0
6,Data Analytics,Canada,CAN,2021,SE,100,M,71786.0
7,Data Analytics,Canada,CAN,2022,EN,0,M,59500.0
8,Data Analytics,Canada,CAN,2022,MI,0,M,80000.0
9,Data Analytics,Canada,CAN,2022,MI,50,L,70912.0
10,Data Analytics,Canada,CAN,2022,MI,100,S,75000.0
11,Data Analytics,Canada,CAN,2022,SE,100,M,95650.0
12,Data Analytics,Denmark,DNK,2021,SE,100,L,88654.0
13,Data Analytics,France,FRA,2020,MI,50,L,46759.0
14,Data Analytics,France,FRA,2021,EN,50,M,59102.0
15,Data Analytics,Germany,DEU,2021,SE,50,L,63831.0
16,Data Analytics,Germany,DEU,2021,SE,100,L,79197.0
17,Data Analytics,Greece,GRC,2022,MI,100,M,38470.0
18,Data Analytics,Greece,GRC,2022,MI,100,S,20000.0
19,Data Analytics,Honduras,HND,2020,MI,0,S,20000.0
20,Data Analytics,India,IND,2020,EN,0,S,6072.0
21,Data Analytics,India,IND,2020,MI,100,L,6072.0
22,Data Analytics,India,IND,2021,MI,100,L,19609.0
23,Data Analytics,India,IND,2022,MI,100,M,18442.0
24,Data Analytics,Luxembourg,LUX,2021,EN,100,L,59102.0
25,Data Analytics,Nigeria,NGA,2020,EN,100,S,10000.0
26,Data Analytics,Pakistan,PAK,2020,MI,50,L,8000.0
27,Data Analytics,Pakistan,PAK,2022,EN,0,M,20000.0
28,Data Analytics,Spain,ESP,2021,EN,50,M,10354.0
29,Data Analytics,Spain,ESP,2022,MI,100,M,38470.0
30,Data Analytics,United Kingdom,GBR,2021,MI,50,L,51519.0
31,Data Analytics,United Kingdom,GBR,2021,SE,50,L,61896.0
32,Data Analytics,United Kingdom,GBR,2021,SE,100,M,50000.0
33,Data Analytics,United Kingdom,GBR,2022,MI,0,M,55622.5
34,Data Analytics,United Kingdom,GBR,2022,MI,100,M,45807.0
35,Data Analytics,United States,USA,2020,EN,100,L,87666.67
36,Data Analytics,United States,USA,2020,MI,100,L,102333.33
37,Data Analytics,United States,USA,2021,EN,100,M,65000.0
38,Data Analytics,United States,USA,2021,EN,100,S,75000.0
39,Data Analytics,United States,USA,2021,MI,0,L,68500.0
40,Data Analytics,United States,USA,2021,MI,100,L,173600.0
41,Data Analytics,United States,USA,2021,MI,100,M,90000.0
